,hardness-agree,hardness-maj,hardness-votes,n_votes,prep,rigidness-agree,rigidness-maj,rigidness-votes,size-agree,size-maj,size-votes,sub,verb,verb-speed-agree,verb-speed-maj,verb-speed-votes,weight-agree,weight-maj,weight-votes
46,2,1,"[1, -42, 1]",3,,2,-42,"[1, -42, -42]",2,1,"[1, -1, 1]",_od,threw,1,-42,"[-1, -42, 1]",2,1,"[1, -1, 1]"
47,1,-42,"[-1, -42, 1]",3,in,3,-1,"[-1, -1, -1]",2,-1,"[-1, -1, 1]",_dp,threw,1,-42,"[-42, 1, -1]",2,1,"[-1, 1, 1]"
48,3,-1,"[-1, -1, -1]",3,on,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_dp,threw,2,1,"[-1, 1, 1]",2,-1,"[-1, -42, -1]"
49,2,-1,"[-42, -1, -1]",3,into,2,-42,"[-42, -1, -42]",3,-1,"[-1, -1, -1]",_dp,threw,2,1,"[1, -42, 1]",2,-1,"[-42, -1, -1]"
50,1,-42,"[1, -1, -42]",3,with,2,1,"[1, 1, -42]",2,-1,"[-1, -1, -42]",_dp,threw,3,1,"[1, 1, 1]",2,-1,"[-1, -1, 1]"
51,2,-1,"[-1, -42, -1]",3,at,1,-42,"[-1, -42, 1]",2,-1,"[-1, -42, -1]",_dp,threw,3,1,"[1, 1, 1]",2,-1,"[-1, -42, -1]"
52,1,-42,"[1, -1, -42]",3,around,1,-42,"[1, -1, -42]",2,-1,"[1, -1, -1]",_dp,threw,1,-42,"[-42, 1, -1]",2,-1,"[1, -1, -1]"
53,2,1,"[1, -42, 1]",3,off,3,-1,"[-1, -1, -1]",1,-42,"[1, -42, -1]",_op,dropped,3,1,"[1, 1, 1]",2,1,"[1, -42, 1]"
54,2,-1,"[1, -1, -1]",3,on,2,-1,"[1, -1, -1]",3,-1,"[-1, -1, -1]",_op,dropped,2,1,"[1, -1, 1]",2,-1,"[-42, -1, -1]"
55,2,-42,"[-1, -42, -42]",3,into,1,-42,"[1, -1, -42]",3,-1,"[-1, -1, -1]",_op,dropped,3,1,"[1, 1, 1]",1,-42,"[1, -1, -42]"
56,2,-1,"[-42, -1, -1]",3,from,2,-1,"[-42, -1, -1]",2,-1,"[-1, -1, 1]",_op,dropped,3,1,"[1, 1, 1]",2,-1,"[-1, 1, -1]"
57,2,1,"[1, 1, -42]",3,off,2,-1,"[-1, -1, -42]",2,1,"[1, 1, -42]",_p,dropped,2,1,"[1, 1, -42]",2,1,"[1, 1, -42]"
58,2,-42,"[-42, -1, -42]",3,in,1,-42,"[-42, -1, 1]",3,-1,"[-1, -1, -1]",_p,dropped,3,1,"[1, 1, 1]",1,-42,"[-42, -1, 1]"
59,2,-1,"[-42, -1, -1]",3,from,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_p,dropped,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
60,2,-42,"[-42, -42, 1]",3,,2,-42,"[-42, -42, -1]",3,1,"[1, 1, 1]",_d,dropped,2,-1,"[-1, -1, 1]",3,1,"[1, 1, 1]"
61,2,1,"[-42, 1, 1]",3,,3,-42,"[-42, -42, -42]",2,1,"[-42, 1, 1]",_od,dropped,3,-1,"[-1, -1, -1]",2,1,"[-42, 1, 1]"
62,2,-42,"[-42, -42, -1]",3,in,3,-42,"[-42, -42, -42]",3,-1,"[-1, -1, -1]",_dp,dropped,3,1,"[1, 1, 1]",2,-1,"[-1, -42, -1]"
63,2,-1,"[1, -1, -1]",3,on,3,-1,"[-1, -1, -1]",2,-1,"[1, -1, -1]",_dp,dropped,2,-1,"[-1, 1, -1]",2,-1,"[1, -1, -1]"
64,2,-1,"[-1, -42, -1]",3,into,2,-1,"[-1, -42, -1]",2,-1,"[-1, -1, -42]",_dp,dropped,2,1,"[1, 1, -42]",2,-1,"[-1, -42, -1]"
65,2,-42,"[-42, 1, -42]",3,with,2,1,"[-42, 1, 1]",1,-42,"[-42, 1, -1]",_dp,dropped,3,-42,"[-42, -42, -42]",2,-42,"[-42, 1, -42]"
66,3,-1,"[-1, -1, -1]",3,from,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_dp,dropped,2,1,"[1, 1, -1]",3,-1,"[-1, -1, -1]"
67,2,1,"[1, 1, -1]",3,in,2,1,"[1, 1, -1]",2,-1,"[1, -1, -1]",_op,grew,2,-42,"[-42, -42, 1]",2,-1,"[1, -1, -1]"
68,2,-1,"[-1, -42, -1]",3,into,2,-42,"[-42, -42, -1]",3,-1,"[-1, -1, -1]",_op,grew,2,-42,"[-42, 1, -42]",2,-1,"[-1, 1, -1]"
69,2,-42,"[1, -42, -42]",3,with,2,1,"[1, 1, -42]",1,-42,"[1, -42, -1]",_op,grew,2,-42,"[-1, -42, -42]",2,1,"[1, 1, -1]"
70,3,-42,"[-42, -42, -42]",3,from,2,-1,"[-42, -1, -1]",1,-42,"[-42, 1, -1]",_op,grew,3,-42,"[-42, -42, -42]",1,-42,"[-42, 1, -1]"
71,2,-42,"[-42, -1, -42]",3,by,2,-42,"[-42, -1, -42]",1,-42,"[-42, -1, 1]",_op,grew,3,-42,"[-42, -42, -42]",2,-42,"[-42, -1, -42]"
72,2,-42,"[1, -42, -42]",3,in,2,-42,"[-1, -42, -42]",2,-42,"[1, -42, -42]",_p,grew,3,-42,"[-42, -42, -42]",2,-42,"[1, -42, -42]"
73,3,-42,"[-42, -42, -42]",3,into,2,-42,"[-42, -42, -1]",2,1,"[1, -42, 1]",_p,grew,2,-42,"[-42, -42, 1]",2,1,"[1, -42, 1]"
74,2,-42,"[-1, -42, -42]",3,with,3,-42,"[-42, -42, -42]",2,-42,"[-1, -42, -42]",_p,grew,3,-42,"[-42, -42, -42]",1,-42,"[-1, 1, -42]"
75,2,1,"[-42, 1, 1]",3,from,2,-42,"[-1, -42, -42]",2,1,"[-42, 1, 1]",_p,grew,2,-42,"[1, -42, -42]",2,1,"[-42, 1, 1]"
76,1,-42,"[1, -1, -42]",3,by,2,-42,"[-42, -1, -42]",2,1,"[1, -1, 1]",_p,grew,2,1,"[1, 1, -42]",2,1,"[1, -1, 1]"
77,2,-42,"[-42, -42, -1]",3,,1,-42,"[-42, 1, -1]",1,-42,"[1, -42, -1]",_d,grew,2,1,"[1, -42, 1]",2,-42,"[-42, -42, -1]"
78,2,1,"[1, -42, 1]",3,,2,-42,"[1, -42, -42]",2,1,"[1, -42, 1]",_od,grew,2,-42,"[1, -42, -42]",2,1,"[1, -42, 1]"
79,1,-42,"[-42, 1, -1]",3,in,2,-1,"[-1, -42, -1]",3,-1,"[-1, -1, -1]",_dp,grew,3,-42,"[-42, -42, -42]",3,-1,"[-1, -1, -1]"
80,1,-42,"[-1, -42, 1]",3,with,2,-1,"[-1, -42, -1]",1,-42,"[-1, -42, 1]",_dp,grew,2,-42,"[-42, -42, 1]",1,-42,"[-1, -42, 1]"
81,2,-1,"[-1, -42, -1]",3,by,2,-1,"[1, -1, -1]",2,-1,"[-1, 1, -1]",_dp,grew,2,1,"[1, 1, -1]",2,-1,"[-1, -42, -1]"
82,3,1,"[1, 1, 1]",3,of,1,-42,"[1, -1, -42]",3,1,"[1, 1, 1]",_dp,grew,2,-42,"[-42, 1, -42]",3,1,"[1, 1, 1]"
83,2,-42,"[-42, -1, -42]",3,for,3,-42,"[-42, -42, -42]",2,-1,"[-42, -1, -1]",_dp,grew,2,-42,"[-42, -42, 1]",2,-1,"[-42, -1, -1]"
84,2,1,"[1, -1, 1]",3,off,2,-1,"[-1, -1, -42]",3,1,"[1, 1, 1]",_op,cut,1,-42,"[1, -1, -42]",3,1,"[1, 1, 1]"
85,3,1,"[1, 1, 1]",3,out,2,1,"[1, 1, -1]",3,1,"[1, 1, 1]",_op,cut,3,1,"[1, 1, 1]",3,1,"[1, 1, 1]"
86,1,-42,"[-42, -1, 1]",3,down,3,-1,"[-1, -1, -1]",1,-42,"[1, -42, -1]",_op,cut,1,-42,"[-1, 1, -42]",2,-1,"[-1, -1, -42]"
87,2,1,"[-42, 1, 1]",3,off,2,-42,"[-42, 1, -42]",2,-42,"[-42, -42, 1]",_p,cut,2,1,"[1, -42, 1]",2,1,"[-42, 1, 1]"
88,2,1,"[1, 1, -1]",3,in,2,-1,"[-1, 1, -1]",2,1,"[-1, 1, 1]",_p,cut,3,1,"[1, 1, 1]",2,-1,"[-1, 1, -1]"
89,3,1,"[1, 1, 1]",3,out,2,1,"[1, -1, 1]",3,1,"[1, 1, 1]",_p,cut,2,-42,"[-42, -42, 1]",3,1,"[1, 1, 1]"
90,2,1,"[1, -1, 1]",3,with,1,-42,"[1, -1, -42]",3,1,"[1, 1, 1]",_p,cut,2,-42,"[-1, -42, -42]",3,1,"[1, 1, 1]"
91,2,-1,"[-1, 1, -1]",3,down,2,1,"[1, 1, -1]",2,-1,"[-1, -42, -1]",_p,cut,2,1,"[1, -1, 1]",2,-1,"[-1, -42, -1]"
92,3,1,"[1, 1, 1]",3,,3,1,"[1, 1, 1]",2,1,"[1, -42, 1]",_d,cut,2,-42,"[-42, -42, 1]",2,1,"[1, -42, 1]"
93,3,1,"[1, 1, 1]",3,,2,1,"[-42, 1, 1]",1,-42,"[-42, 1, -1]",_od,cut,2,1,"[1, -42, 1]",1,-42,"[-42, 1, -1]"
94,2,-1,"[-42, -1, -1]",3,in,1,-42,"[-42, -1, 1]",2,-1,"[1, -1, -1]",_dp,cut,2,-42,"[-42, 1, -42]",2,-1,"[1, -1, -1]"
95,1,-42,"[1, -42, -1]",3,into,1,-42,"[1, -42, -1]",2,-1,"[-1, 1, -1]",_dp,cut,2,1,"[1, -42, 1]",2,-1,"[-1, -42, -1]"
96,3,-1,"[-1, -1, -1]",3,with,3,-1,"[-1, -1, -1]",1,-42,"[-1, -42, 1]",_dp,cut,3,-1,"[-1, -1, -1]",2,-1,"[-1, -42, -1]"
97,2,-1,"[-1, 1, -1]",3,from,2,-1,"[-1, -42, -1]",2,-1,"[-1, 1, -1]",_dp,cut,3,1,"[1, 1, 1]",2,-1,"[-1, 1, -1]"
98,3,-1,"[-1, -1, -1]",3,of,2,-1,"[-42, -1, -1]",3,-1,"[-1, -1, -1]",_dp,cut,3,-42,"[-42, -42, -42]",3,-1,"[-1, -1, -1]"
99,2,-42,"[-42, -42, -1]",3,in,2,-1,"[-1, -42, -1]",3,-1,"[-1, -1, -1]",_op,drank,2,-42,"[-42, -42, -1]",1,-42,"[-1, -42, 1]"
100,1,-42,"[-42, -1, 1]",3,with,2,-42,"[-42, 1, -42]",2,-42,"[-42, -1, -42]",_op,drank,2,-42,"[-42, -1, -42]",1,-42,"[-42, -1, 1]"
101,2,-1,"[-1, -42, -1]",3,at,2,-42,"[-1, -42, -42]",2,-1,"[-1, -42, -1]",_op,drank,2,-42,"[1, -42, -42]",2,-42,"[-1, -42, -42]"
102,2,-42,"[-42, -42, 1]",3,in,2,-1,"[-1, -1, 1]",2,-1,"[-1, -1, 1]",_p,drank,2,-42,"[1, -42, -42]",2,-1,"[-1, -1, 1]"
103,2,1,"[-1, 1, 1]",3,from,2,-1,"[1, -1, -1]",3,1,"[1, 1, 1]",_p,drank,2,1,"[1, 1, -42]",3,1,"[1, 1, 1]"
104,1,-42,"[-1, -42, 1]",3,at,2,-1,"[-1, -42, -1]",1,-42,"[-1, -42, 1]",_p,drank,2,-42,"[-42, -42, 1]",1,-42,"[-1, -42, 1]"
105,3,1,"[1, 1, 1]",3,,3,1,"[1, 1, 1]",3,1,"[1, 1, 1]",_d,drank,2,-1,"[-1, -1, 1]",3,1,"[1, 1, 1]"
106,3,1,"[1, 1, 1]",3,,3,1,"[1, 1, 1]",3,1,"[1, 1, 1]",_od,drank,1,-42,"[1, -1, -42]",3,1,"[1, 1, 1]"
107,3,-1,"[-1, -1, -1]",3,in,2,-1,"[-1, -42, -1]",3,-1,"[-1, -1, -1]",_dp,drank,2,1,"[1, 1, -42]",3,-1,"[-1, -1, -1]"
108,2,-1,"[-1, -1, -42]",3,with,1,-42,"[-1, 1, -42]",2,-1,"[-1, -1, -42]",_dp,drank,2,-1,"[-1, -1, -42]",2,-1,"[-1, -1, -42]"
109,2,-1,"[-1, 1, -1]",3,at,1,-42,"[-1, 1, -42]",2,-1,"[-1, 1, -1]",_dp,drank,2,1,"[1, 1, -42]",2,-1,"[-1, 1, -1]"
110,2,1,"[1, 1, -42]",3,up,2,-42,"[1, -42, -42]",2,1,"[1, 1, -1]",_op,gazed,2,1,"[1, 1, -42]",2,1,"[1, 1, -42]"
111,2,-1,"[-1, -42, -1]",3,out,3,-1,"[-1, -1, -1]",2,-42,"[-1, -42, -42]",_op,gazed,1,-42,"[-1, 1, -42]",2,-42,"[-1, -42, -42]"
112,3,-42,"[-42, -42, -42]",3,with,3,-42,"[-42, -42, -42]",2,-42,"[-42, 1, -42]",_op,gazed,3,-42,"[-42, -42, -42]",2,-42,"[-42, 1, -42]"
113,3,-42,"[-42, -42, -42]",3,at,2,-42,"[-42, -1, -42]",2,-42,"[1, -42, -42]",_op,gazed,2,-42,"[-42, -1, -42]",3,-42,"[-42, -42, -42]"
114,3,-42,"[-42, -42, -42]",3,upon,2,-1,"[-42, -1, -1]",2,-42,"[-42, 1, -42]",_op,gazed,2,1,"[-42, 1, 1]",3,-42,"[-42, -42, -42]"
115,1,-42,"[-1, -42, 1]",3,in,1,-42,"[1, -42, -1]",2,-1,"[-1, -42, -1]",_p,gazed,1,-42,"[-1, -42, 1]",2,1,"[1, -42, 1]"
116,2,-42,"[1, -42, -42]",3,out,2,-1,"[-1, -42, -1]",2,-42,"[-42, -42, -1]",_p,gazed,2,-42,"[1, -42, -42]",2,-42,"[-42, 1, -42]"
117,2,-1,"[-1, -42, -1]",3,into,2,-1,"[-1, -42, -1]",2,-1,"[-1, -42, -1]",_p,gazed,2,1,"[1, -42, 1]",1,-42,"[-1, -42, 1]"
118,2,1,"[-42, 1, 1]",3,with,2,1,"[-1, 1, 1]",3,1,"[1, 1, 1]",_p,gazed,2,-1,"[-1, 1, -1]",3,1,"[1, 1, 1]"
119,2,-42,"[-42, 1, -42]",3,at,2,-1,"[-1, -1, -42]",1,-42,"[-1, 1, -42]",_p,gazed,2,-42,"[-42, 1, -42]",1,-42,"[-1, 1, -42]"
120,2,-1,"[1, -1, -1]",3,upon,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_p,gazed,2,1,"[-1, 1, 1]",3,-1,"[-1, -1, -1]"
121,2,-42,"[-42, -42, 1]",3,,3,-42,"[-42, -42, -42]",1,-42,"[-42, -1, 1]",_d,gazed,2,-42,"[-42, -42, 1]",2,-42,"[-42, -42, 1]"
122,2,1,"[-42, 1, 1]",3,,2,-42,"[-42, -42, -1]",2,1,"[-1, 1, 1]",_od,gazed,3,1,"[1, 1, 1]",2,1,"[-1, 1, 1]"
123,2,-1,"[-1, 1, -1]",3,on,2,-42,"[1, -42, -42]",1,-42,"[-1, 1, -42]",_op,swung,2,-42,"[-42, -42, 1]",2,1,"[1, 1, -42]"
124,1,-42,"[-42, -1, 1]",3,into,2,-1,"[-42, -1, -1]",1,-42,"[-42, -1, 1]",_op,swung,2,1,"[1, -1, 1]",1,-42,"[-42, -1, 1]"
125,3,-1,"[-1, -1, -1]",3,from,2,-1,"[-1, -1, -42]",3,-1,"[-1, -1, -1]",_op,swung,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
126,2,-1,"[-1, -42, -1]",3,around,1,-42,"[-1, -42, 1]",1,-42,"[-1, -42, 1]",_op,swung,1,-42,"[1, -42, -1]",1,-42,"[-1, -42, 1]"
127,2,-42,"[-42, -42, -1]",3,on,1,-42,"[1, -42, -1]",1,-42,"[1, -42, -1]",_p,swung,2,-42,"[-42, -42, 1]",1,-42,"[1, -42, -1]"
128,2,1,"[-1, 1, 1]",3,with,2,-1,"[-1, 1, -1]",3,1,"[1, 1, 1]",_p,swung,2,-1,"[-42, -1, -1]",3,1,"[1, 1, 1]"
129,2,-1,"[-1, -1, -42]",3,from,2,-42,"[-42, -1, -42]",2,1,"[1, -1, 1]",_p,swung,2,-42,"[-42, 1, -42]",2,1,"[1, -1, 1]"
130,2,-1,"[-1, -1, -42]",3,by,3,-1,"[-1, -1, -1]",2,-1,"[1, -1, -1]",_p,swung,3,1,"[1, 1, 1]",2,-1,"[1, -1, -1]"
131,2,1,"[-1, 1, 1]",3,around,2,-1,"[-1, 1, -1]",2,1,"[-1, 1, 1]",_p,swung,2,-1,"[1, -1, -1]",2,1,"[-1, 1, 1]"
132,2,1,"[-42, 1, 1]",3,,3,-42,"[-42, -42, -42]",3,1,"[1, 1, 1]",_d,swung,3,-1,"[-1, -1, -1]",3,1,"[1, 1, 1]"
133,1,-42,"[1, -42, -1]",3,,2,-1,"[-42, -1, -1]",3,1,"[1, 1, 1]",_od,swung,3,-1,"[-1, -1, -1]",3,1,"[1, 1, 1]"
134,2,-42,"[-42, 1, -42]",3,over,2,-1,"[-1, -42, -1]",1,-42,"[-42, 1, -1]",_dp,swung,2,1,"[1, -1, 1]",2,-1,"[-1, 1, -1]"
135,2,-42,"[-42, -1, -42]",3,over,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_op,jumped,3,1,"[1, 1, 1]",2,-42,"[-42, -1, -42]"
136,2,-1,"[-42, -1, -1]",3,in,1,-42,"[-42, -1, 1]",3,-1,"[-1, -1, -1]",_op,jumped,2,-42,"[-42, 1, -42]",2,-1,"[-42, -1, -1]"
137,2,-1,"[-1, -42, -1]",3,on,2,-1,"[-1, -42, -1]",2,-1,"[-1, 1, -1]",_op,jumped,2,1,"[1, 1, -1]",2,-1,"[-1, 1, -1]"
138,1,-42,"[-42, 1, -1]",3,into,2,-1,"[-1, -42, -1]",3,-1,"[-1, -1, -1]",_op,jumped,3,1,"[1, 1, 1]",2,-42,"[-42, -42, -1]"
139,3,-1,"[-1, -1, -1]",3,from,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_op,jumped,3,1,"[1, 1, 1]",3,-1,"[-1, -1, -1]"
140,1,-42,"[1, -1, -42]",3,in,2,1,"[1, 1, -42]",2,-1,"[-1, -1, -42]",_p,jumped,2,1,"[-1, 1, 1]",2,-1,"[-1, -1, -42]"
141,2,-42,"[-1, -42, -42]",3,out,2,-1,"[-1, -1, -42]",1,-42,"[-1, 1, -42]",_p,jumped,3,1,"[1, 1, 1]",2,-42,"[-1, -42, -42]"
142,3,-1,"[-1, -1, -1]",3,on,2,-1,"[-1, -1, 1]",2,-1,"[-1, -1, 1]",_p,jumped,3,1,"[1, 1, 1]",2,-1,"[-1, -1, -42]"
143,2,-1,"[-1, -1, -42]",3,into,3,-1,"[-1, -1, -1]",3,-1,"[-1, -1, -1]",_p,jumped,2,1,"[-42, 1, 1]",3,-1,"[-1, -1, -1]"
