,obj1,obj2,size-agree,size-maj,weight-agree,weight-maj,strength-agree,strength-maj,rigidness-agree,rigidness-maj,speed-agree,speed-maj
84,king,camp,3,-1,3,-1,2,-1,1,-42,3,1
85,bag,way,3,-42,3,-42,3,-42,3,-42,3,-42
86,person,wife,3,0,3,0,3,0,3,0,3,0
87,hair,floor,3,-1,3,-1,3,-1,3,-1,2,1
88,ball,light,1,-42,2,1,2,1,1,-42,3,-1
89,heaven,face,2,1,2,-42,2,-42,2,-42,2,-1
90,knife,throat,1,-42,2,-1,2,1,2,1,2,-42
91,someone,light,1,-42,3,1,2,1,2,-1,2,-1
92,chair,window,2,0,2,1,3,1,2,0,3,0
93,person,fox,3,1,3,1,2,1,2,0,3,-1
94,sea,middle,2,-42,3,-42,3,-42,3,-42,3,-42
95,messenger,master,1,-42,1,-42,1,-42,2,0,1,-42
96,system,something,3,-42,3,-42,3,-42,3,-42,3,-42
97,shirt,hand,3,1,2,-1,2,-1,1,-42,1,-42
98,person,ice,3,1,3,1,3,1,2,-1,2,1
99,step,flood,2,-1,2,-42,2,-42,2,-42,2,-42
100,daughter,call,2,-42,2,1,2,-42,2,-42,3,-42
101,eye,fist,3,-1,3,-1,3,-1,2,-1,2,-42
102,house,hill,3,-1,3,-1,3,-1,2,-1,2,0
103,stream,hand,3,1,2,1,2,-42,2,-1,3,1
104,current,shore,2,1,1,-42,2,1,2,-1,3,1
105,sea,call,2,-42,2,-42,2,-42,2,-42,2,-42
106,ship,hand,3,1,3,1,3,1,3,1,1,-42
107,child,glass,2,1,2,1,1,-42,2,-1,2,1
108,way,end,3,-42,3,-42,3,-42,3,-42,3,-42
109,lady,eye,2,1,2,1,2,1,2,1,1,-42
110,house,back,1,-42,1,-42,1,-42,1,-42,2,-1
111,fist,mouth,2,0,1,-42,2,1,2,1,1,-42
112,door,wife,2,1,1,-42,1,-42,2,1,2,-1
113,bay,way,3,-42,3,-42,3,-42,3,-42,3,-42
114,object,hand,3,-42,3,-42,3,-42,3,-42,3,-42
115,flood,end,3,-42,3,-42,3,-42,3,-42,3,-42
116,eye,direction,3,-42,3,-42,3,-42,2,-42,2,-42
117,river,boat,3,1,3,1,2,1,2,-1,2,1
118,brother,coal,3,1,2,1,3,1,2,-1,3,1
119,victim,house,3,-1,3,-1,2,-1,2,-1,3,1
120,brother,clothes,2,1,3,1,3,1,3,1,2,0
121,child,purse,3,1,3,1,3,1,2,-1,3,1
122,bank,flood,3,-42,3,-42,2,-42,2,-42,2,-1
123,house,farm,3,-1,3,-1,2,-1,1,-42,3,0
124,side,current,3,-42,3,-42,3,-42,2,-42,2,-42
125,gentleman,book,3,1,3,1,3,1,3,-1,3,1
126,ground,king,3,1,3,1,3,1,3,1,3,-1
127,father,world,3,-1,3,-1,3,-1,3,-1,2,1
128,wall,hand,3,1,3,1,3,1,3,1,3,-1
129,grass,hand,3,-1,3,-1,3,-1,2,1,3,-1
130,bank,suit,3,1,3,1,3,1,3,1,1,-42
131,patient,glass,2,1,3,1,1,-42,2,-1,2,1
132,gentleman,train,3,-1,3,-1,3,-1,3,-1,3,-1
133,meal,piece,3,1,3,1,2,-42,2,-42,2,-42
134,sun,breath,3,1,3,1,3,1,1,-42,1,-42
135,everything,child,3,1,3,1,3,1,2,1,2,1
136,hat,response,2,-42,2,1,2,-42,1,-42,3,-1
137,torrent,mountain,2,-1,2,-1,1,-42,2,-42,3,1
138,boy,farm,3,-1,2,-1,3,-1,2,-1,3,1
139,office,picture,3,1,3,1,1,-42,1,-42,3,0
140,gentleman,stream,3,-1,3,-1,1,-42,3,1,2,-1
141,house,barn,1,-42,1,-42,2,0,2,0,2,0
142,bag,everything,2,-42,2,-42,2,-42,2,-42,2,-42
143,coach,bank,2,-1,2,-1,2,-1,2,-1,2,1
144,gentleman,eye,3,1,3,1,3,1,2,-1,2,1
145,person,ship,3,-1,3,-1,3,-1,3,-1,2,-1
146,someone,eye,2,1,2,1,2,1,1,-42,1,-42
147,father,light,2,-42,3,1,2,1,3,1,2,-1
148,river,sun,3,-1,3,-1,3,-1,2,-1,2,-42
149,sun,head,3,1,3,1,3,1,2,1,2,1
150,someone,piece,2,-42,2,-42,3,-42,3,-42,3,-42
151,gentleman,room,3,-1,3,-1,3,-1,3,-1,3,1
152,lady,stream,3,-1,2,-1,2,1,2,1,3,-1
153,foot,wall,3,-1,3,-1,3,-1,3,-1,3,1
154,breath,soul,2,-42,2,0,1,-42,2,0,1,-42
155,daughter,anything,2,-42,2,-42,3,-42,2,-42,3,-42
156,back,room,2,-42,2,-42,2,-42,2,-42,2,-42
157,scene,room,2,-42,2,-42,2,-42,2,-42,2,-42
158,hair,effect,3,-42,2,-42,2,-42,3,-42,2,-42
159,king,effect,1,-42,2,-42,2,-42,2,-42,2,-42
160,car,hand,3,1,3,1,3,1,3,1,3,1
161,town,picture,3,1,3,1,3,1,2,1,2,-42
162,lady,picture,3,1,3,1,3,1,2,-1,3,1
163,window,air,2,-1,3,1,2,1,3,1,3,-1
164,piano,suit,3,1,3,1,3,1,2,1,2,-42
165,father,bag,3,1,3,1,3,1,2,1,3,1
166,exile,end,2,-42,2,-42,2,-42,2,-42,2,-42
167,house,picture,3,1,3,1,3,1,3,1,2,-1
168,office,air,2,-1,2,1,2,-42,1,-42,2,-1
169,skirt,knee,1,-42,2,-1,1,-42,2,-1,2,-1
170,body,room,3,-1,2,-1,2,-1,3,-1,3,1
171,someone,child,3,1,3,1,3,1,2,0,1,-42
172,lady,hand,2,1,2,1,2,0,1,-42,1,-42
173,person,elbow,3,1,3,1,2,1,2,0,2,0
174,river,current,3,1,2,1,2,-1,2,0,2,-1
175,head,light,2,-1,3,1,3,1,3,1,2,-1
176,fox,goose,2,1,2,1,2,1,3,0,2,1
177,person,deck,3,-1,3,-1,3,-1,3,-1,3,1
178,boy,something,3,-42,3,-42,3,-42,3,-42,3,-42
179,phone,room,3,-1,3,-1,2,-1,2,-1,1,-42
180,call,way,2,-42,2,-42,2,-42,2,-42,2,-42
181,boy,face,3,1,3,1,3,1,1,-42,2,0
182,energy,hand,2,-42,2,-1,1,-42,2,-1,2,1
